debtor_id,name,total_debt,total_paid,phone,city
1,Debtor_1,29101,12022,+16504567148,New York
2,Debtor_2,33768,26316,+11693428021,Chicago
3,Debtor_3,34220,17972,+14494864176,New York
4,Debtor_4,6366,11776,+12416264650,Chicago
5,Debtor_5,15664,3803,+14031216155,New York
6,Debtor_6,22584,23864,+17595155707,Houston
7,Debtor_7,14105,5780,+12351996059,New York
8,Debtor_8,43839,15622,+17761733850,Chicago
9,Debtor_9,14502,7919,+19566861378,Phoenix
10,Debtor_10,23489,12139,+19464651488,Chicago
11,Debtor_11,10789,1873,+11113214674,New York
12,Debtor_12,41513,29702,+12929421039,Phoenix
13,Debtor_13,35083,13337,+12151979313,New York
14,Debtor_14,19761,28512,+15894511120,New York
15,Debtor_15,31763,27849,+13840679845,Houston
16,Debtor_16,44045,21036,+15544173270,Phoenix
17,Debtor_17,47302,15994,+18923322598,Houston
18,Debtor_18,48678,21673,+13810003764,Houston
19,Debtor_19,30560,16242,+15422984413,Phoenix
20,Debtor_20,31665,1279,+19484351123,Chicago
21,Debtor_21,49482,28848,+16541698598,Phoenix
22,Debtor_22,48076,14392,+19116261690,New York
23,Debtor_23,25032,29080,+14906436930,Chicago
24,Debtor_24,45236,29879,+13498960270,Phoenix
25,Debtor_25,32323,21480,+19780127494,Phoenix
26,Debtor_26,42509,11921,+14825841251,Los Angeles
27,Debtor_27,46980,11761,+11734354882,New York
28,Debtor_28,1238,11781,+19217770626,Phoenix
29,Debtor_29,36411,7913,+17248170878,Phoenix
30,Debtor_30,23076,22300,+19588537198,Los Angeles
31,Debtor_31,16516,10973,+19562266502,Phoenix
32,Debtor_32,20989,3180,+12085574172,Los Angeles
33,Debtor_33,33815,15176,+15943514607,New York
34,Debtor_34,14355,2884,+15252484158,New York
35,Debtor_35,26239,14654,+15792251850,Chicago
36,Debtor_36,32192,17087,+14034817083,New York
37,Debtor_37,12433,3270,+12843702515,Phoenix
38,Debtor_38,40636,2295,+11993203758,New York
39,Debtor_39,40502,27766,+18807873581,Houston
40,Debtor_40,28446,28284,+14645058351,Phoenix
41,Debtor_41,39793,22221,+16703038731,Houston
42,Debtor_42,44965,12788,+11280560086,Phoenix
43,Debtor_43,11425,1686,+12503565157,Phoenix
44,Debtor_44,40292,2165,+18965600879,Chicago
45,Debtor_45,43773,24617,+19598461061,Chicago
46,Debtor_46,27745,14926,+11623263341,Phoenix
47,Debtor_47,9703,22136,+18335064763,Chicago
48,Debtor_48,48065,15082,+12620822558,Chicago
49,Debtor_49,6606,27952,+15163412030,New York
50,Debtor_50,24081,29916,+16134553105,Chicago
51,Debtor_51,44906,7220,+15876850032,Chicago
